Date,Open,High,Low,Close,Adj Close,Volume
1/11/16,193.009995,193.410004,189.820007,192.110001,180.251831,185113200
1/8/16,195.190002,195.850006,191.580002,191.919998,180.073517,209817200
1/7/16,195.330002,197.440002,193.589996,194.050003,182.072052,213436100
1/6/16,198.339996,200.059998,197.600006,198.820007,186.547623,152112600
1/5/16,201.399994,201.899994,200.050003,201.360001,188.930862,110845800
1/4/16,200.490005,201.029999,198.589996,201.020004,188.611862,222353500
12/31/15,205.130005,205.889999,203.869995,203.869995,191.285904,114877900
12/30/15,207.110001,207.210007,205.759995,205.929993,193.21875,63317700
12/29/15,206.509995,207.789993,206.470001,207.399994,194.598053,92640700
12/28/15,204.860001,205.259995,203.940002,205.210007,192.543167,64967100
12/24/15,205.720001,206.330002,205.419998,205.679993,192.984161,48542200
12/23/15,204.690002,206.070007,204.580002,206.020004,193.303223,110987200
12/22/15,202.720001,203.850006,201.550003,203.5,190.938751,103602200
12/21/15,201.410004,201.880005,200.089996,201.669998,189.22171,99094300
12/18/15,202.770004,202.929993,199.830002,200.020004,187.673584,251393500
12/17/15,208.399994,208.479996,204.839996,204.860001,191.078033,173092500
12/16/15,206.369995,208.389999,204.800003,208.029999,194.03476,197017000
12/15/15,204.699997,206.110001,202.869995,205.029999,191.236588,154069600
12/14/15,202.070007,203.050003,199.949997,202.899994,189.249878,176235400
12/11/15,203.350006,204.139999,201.509995,201.880005,188.298538,211173300
12/10/15,205.419998,207.429993,205.139999,205.869995,192.020081,115196800
12/9/15,206.190002,208.679993,204.179993,205.339996,191.525742,162401500
12/8/15,206.490005,208.289993,205.779999,206.949997,193.02742,103372400
12/7/15,209.229996,209.729996,207.199997,208.350006,194.333267,102027100
12/4/15,205.610001,209.970001,205.610001,209.619995,195.517807,192913900
12/3/15,208.830002,209.149994,204.75,205.610001,191.777588,166224200
12/2/15,210.619995,211,208.229996,208.529999,194.501129,108441300
12/1/15,209.440002,210.820007,209.110001,210.679993,196.506485,97858400
11/30/15,209.75,209.889999,208.559998,208.690002,194.65036,112822700
11/27/15,209.429993,209.800003,208.860001,209.559998,195.461838,37317800
11/25/15,209.5,209.740005,209.009995,209.320007,195.237976,51980100
11/24/15,207.869995,209.830002,207.410004,209.350006,195.265991,98874400
11/23/15,209.380005,209.979996,208.520004,209.070007,195.004837,64931200
11/20/15,209.449997,210.119995,208.860001,209.309998,195.228653,94011500
11/19/15,208.589996,209.050003,208.199997,208.550003,194.519821,88220500
11/18/15,206.039993,208.899994,205.990005,208.729996,194.687683,121342500
11/17/15,205.990005,207.039993,204.880005,205.470001,191.647003,121123700
11/16/15,202.320007,205.690002,202.179993,205.619995,191.786911,117645200
11/13/15,204.350006,204.669998,202.440002,202.539993,188.914139,153577100
11/12/15,206.5,207.059998,204.820007,204.839996,191.059372,121315200
11/11/15,208.880005,208.940002,207.660004,207.740005,193.764313,67846000
